id,name,full_name
173,test,Вестник Самарского государственного технического университета. Серия «Технические науки»
174,test,Journal of Applied Mathematics
175,test,Металлы Евразии
176,test,"Труды конференции «Информатика и системы управления в XXI веке» (Москва, 2005)"
177,test,"Труды международной конференции «Программные продукты информационного обеспечения безопасности полетов, надежности и технической эксплуатации авиационной техники» (Москва, 2006)"
178,test,"Материалы Международной конференции по мягким вычислениям и измерениям (SCM’2006, Санкт-Петербург)"
179,test,"Материалы международной научной конференции К 10-летию Института экономики, управления и права РГГУ (Москва, 2005)"
180,test,"Труды конференции «Информатика и системы управления в XXI веке» (Москва, 2006)"
181,test,Электротехническая энциклопедия
182,test,"Материалы конференции «Теория, методы и средства измерений, контроля и диагностики» (Новочеркасск, 2005)"
183,test,Электронный регион
184,test,Journal of Gerontology: Biological Sciences
185,test,Успехи геронтологии
186,test,Annals of Applied Probability
187,test,Известия высших учебных заведений. Черная металлургия
188,test,Информационные и телекоммуникационные технологии
189,test,Экономические стратегии
190,test,"Материалы 5-й международной научно-технической конференции Измерение, контроль, информатизация (ИКИ-2006, Барнаул)"
191,test,Научно-технические разработки ФГУП ГКНПЦ им. М.В. Хруничева
192,test,Известия Тульского государственного университета
193,test,Двойные технологии
194,test,Проблемы машиностроения и автоматизации
195,test,"Proceedings. 2005 International Conference Physics and Control, 2005"
196,test,Математический сборник
197,test,"Труды Международной научно-технической конференции «Современные информационные технологии» (Пенза, 2006)"
198,test,Известия вузов. Цветная металлургия
199,test,"Автоматизация, телемеханизация и связь в нефтяной промышленности"
200,test,Когнитивные исследования: Сборник научных трудов: Выпуск 1
201,test,Высокие технологии для России
202,test,Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия: Приборостроение
203,test,Лабораторные информационные системы LIMS
204,test,Гуманитарные науки
205,test,Проблемы управления и информатики
206,test,Инновационные технологии и повышение качества в приборостроении
207,test,Нефтяное хозяйство
208,test,Энергорынок
209,test,Философия и социальная теория
210,test,Автоматизация и современные технологии
211,test,Тара и упаковка
212,test,Сборник научных трудов и инженерных разработок. Перспективные Результаты фундаментальных исследований.
213,test,Труды 7-й Международного конгресса «Вода: экология и технология» ЭКВАТЕК-2006 (Москва)
214,test,Наука Москвы и регионов
215,test,Естественные науки
216,test,"Труды V Международной конференции «Идентификация систем и задачи управления» (SICPRO-2006, Москва)"
217,test,Nonlinear Analysis
218,test,Теплоэнергетика
219,test,Automation and Remote Control
220,test,Performance evaluation
221,test,Stochastic Models
222,test,HETNETs’04 special journal issue on “Convergent Multi-Service Networks and Next Generation Internet: Performance Modelling and Evaluation”
223,test,"Proseeding of 1-st International Workshop on Biological Medicine (Poland, Rybno, 2007)"
224,test,Журнал Микроэлектроника
225,test,"Proceedings of the 4th Conference on Extreme Value Analysis, Probabilistic and Statistical Models and their Applications (Gothenburg, 2005)"
226,test,Proceedings of the 6th Würzburg Workshop on IP: Joint EuroNGI and ITG Workshop on «Visions of Future generation Networks» (EuroView2006)
227,test,Mathematical and Computer Modeling of Dynamical Systems
228,test,Современные аспекты вирусных инфекций
229,test,Systems Science
230,test,Проблемы передачи информации
231,test,Вестник РГГУ
232,test,"Proceedings of the Chinese Control and Decision Conference (China, 2005)"
233,test,"Proceeding of the 10th International Conference on Optimization of Electrical and Electronic Equipment (OPTIM’06, Brasov, Romania)"
234,test,Pattern Recognition and Image Analysis: Advances In Mathematical Theory And Applications
235,test,Автогазозаправочный комплекс плюс альтернативное топливо
236,test,Измерительная техника
237,test,Демография ВИЧ
238,test,Stochastic Processes and Applications
239,test,Биомедицинская радиоэлектроника
240,test,Банковское дело в Москве
241,test,"Труды VII Международной конференции «Когнитивный анализ и управление развитием ситуаций» (CASC-2007, Москва)"
242,test,Оптимизация радиационной защиты: «Дозовая матрица»
243,test,Логистика и управление
244,test,Вопросы философии
245,test,Measurement
246,test,"Труды XIV Международной конференции «Проблемы управления безопасностью сложных систем» (Москва, 2006)"
247,test,Вестник Кемеровского государственного университета. Серия «Математика»
248,test,Геодезия и картография
249,test,Инженерная физика (в списке ВАК до 06.2010)
250,test,International Journal of Computing Anticipatory Systems
251,test,Промышленный вестник
252,test,Electromagnetic Aquametry
253,test,"Proceedings of the 16th IFAC World Congress (Prague, 2005)"
254,test,"Proceedings of the Annual Conference on Neural Information Processing Systems (NIPS, Vancouver, B.C., Canada)"
255,test,"Proceedings of the 14th IFAC Symposium on System Identification (Newcastle, Australia, 2006)"
256,test,arXiv.org
257,test,"Труды научной конференции «Проблемы машиноведения» (Москва, 2008)"
258,test,"Проблемы экономики, науки и образования в сервисе"
259,test,"Proceedings of the IEEE International Symposium on Industrial Electronics (ISIE 2005, Dubrovnik, Croatia)."
260,test,Lecture Notes in Applied and Computational Mechanics
307,test,Сибирский журнал индустриальной математики
261,test,"Теоретические вопросы вычислительной техники, программного обеспечения и информационных технологий в муниципальном хозяйстве"
262,test,"Труды 4-й Всероссийской школы-конференции молодых ученых «Управление большими системами» (УБС2007, Воронеж)"
263,test,"Труды Международной научно-практической конференции «Теория активных систем» (TAS-2005, Москва)"
264,test,"Труды 8-й Международной конференции «Современные сложные системы управления» (Воронеж, 2005)"
265,test,"Труды Международной конференции «Устойчивость и процессы управления» (Санкт-Петербург, 2006)"
266,test,"Материалы 13-й Международной конференции по интегрированным навигационным системам (Санкт-Петербург, 2006)"
267,test,Social Choice and Welfare
268,test,Информационно-измерительные и управляющие системы
269,test,Вестник Тамбовского университета. Серия «Естественные и технические науки»
270,test,Информационные технологии и вычислительные системы
271,test,Вестник Военного Регистра
272,test,Daily.Sec.Ru
273,test,Экономический Журнал ГУ-ВШЭ
274,test,"Материалы 2-й Международной конференции «Управление развитием крупномасштабных систем» (MLSD-2008, Москва)"
275,test,"Труды 1-й Российской конференции с международным участием «Технические и программные средства систем управления, контроля и измерения» (УКИ-2008, Москва)"
276,test,Известия Кыргызского государственного технического университета им. И.Раззакова
277,test,Journal of Physics: Conference Series
278,test,Электричество
279,test,Функциональная диагностика
280,test,"Материалы 3-й Международной конференции «Когнитивный анализ и управление развитием ситуаций» (CASC-2005, Москва)"
281,test,"Материалы 4-й Школы-семинара «Распределенные и кластерные вычисления» (Красноярск, 2005)"
282,test,"Proceedings of the 31th Annual Conference of the IEEE Industrial Electronics Society (IECON 2005, Raleigh, North Carolina, USA)"
283,test,"Труды Международной конференции «Устойчивость и процессы управления» (Санкт-Петербург, 2005)"
284,test,"Труды XIII Байкальской международной школы-семинара «Методы оптимизации и их приложения» (Северобайкальск, 2005)"
